signal,horizon_weeks,target,subsample,n_obs,spearman_rho,spearman_pvalue,ols_beta,hac_tstat,hac_pvalue,tercile_bottom_median,tercile_top_median,tercile_spread
h_t,1,fwd_ret_1w,full,196,-0.07554689078202306,0.2926178718858597,-0.009100621104528084,-0.8975088878134211,0.36944743295502913,0.004065134292177068,0.0018978223676570933,-0.0021673119245199744
h_t,1,fwd_ret_1w,high_conf,58,-0.0868374911562952,0.5168786827448153,-0.007855254343701644,-0.3225022787486918,0.7470722117112597,0.006933048094120619,-0.012851623050050998,-0.019784671144171616
h_t,1,fwd_vol_1w,full,196,0.49023997730481356,3.024536068504822e-13,0.14097135140324363,4.147916624755954,3.355145334989149e-05,0.056911703680940055,0.12616236465325759,0.06925066097231752
h_t,1,fwd_vol_1w,high_conf,58,0.333538404749454,0.01050999762762463,0.14707605157627057,2.77366964111465,0.005542793312615524,0.09655340309690322,0.15826768203664318,0.061714278939739964
h_t,1,fwd_mdd_1w,full,196,0.3437594787326556,8.096937395987928e-07,0.03378944351887756,3.912539523476984,9.13305845898044e-05,0.011384632307718679,0.02601961874713909,0.014634986439420412
h_t,1,fwd_mdd_1w,high_conf,58,0.2817373650373743,0.03214932887386711,0.03668701363888342,2.3247452118160283,0.02008558817862758,0.022131636763249616,0.03453140674212315,0.012399769978873532
h_t,4,fwd_ret_4w,full,196,-0.07120706643892319,0.3213038768759657,-0.03168516257328416,-0.96051438168915,0.33679639637100567,0.02204968054013205,0.004180294279292777,-0.01786938626083927
h_t,4,fwd_ret_4w,high_conf,58,0.0542311359931096,0.6859781266696275,0.01177804550030824,0.16983857404905897,0.8651370898980452,-0.025751963966837196,-0.017288928467649872,0.008463035499187324
h_t,4,fwd_vol_4w,full,196,0.5687273660350626,3.4442629933458468e-18,0.116053424986324,3.813908826520327,0.0001367859487095066,0.07110587263255246,0.12621765822557662,0.05511178559302417
h_t,4,fwd_vol_4w,high_conf,58,0.5736565258851396,2.5110463749605e-06,0.15918964078589498,4.883056194575407,1.0445408701262748e-06,0.11535951608462165,0.15542463192283879,0.04006511583821713
h_t,4,fwd_mdd_4w,full,196,0.3917175463396459,1.3667982068288373e-08,0.0739073491518865,3.291612954264259,0.0009961460431033744,0.026209118458133295,0.07117216224722876,0.044963043789095464
h_t,4,fwd_mdd_4w,high_conf,58,0.30219214510913894,0.02113762014911012,0.08981739420715847,2.5410134075757362,0.011053168082395488,0.06628786491463691,0.08366435885136589,0.01737649393672898
h_t,8,fwd_ret_8w,full,196,-0.0770362649460432,0.2831791952739742,-0.05885029979847262,-1.1750588141774188,0.23997118654322447,0.030912799093212324,0.009413242167518536,-0.02149955692569379
h_t,8,fwd_ret_8w,high_conf,58,-0.13888461656771972,0.2984616377512609,-0.09468114033594344,-0.7144666636622946,0.4749386628019695,-0.012496873768596118,-0.0465916567524666,-0.03409478298387048
h_t,8,fwd_vol_8w,full,196,0.5386267077699302,3.854272269009529e-16,0.10409443552030667,2.9610438877340775,0.0030659824609772413,0.07459805260783436,0.1304791622911905,0.055881109683356134
h_t,8,fwd_vol_8w,high_conf,58,0.5851610323295088,1.4058300970401697e-06,0.14724030772967062,5.2326779762833215,1.6707165779601647e-07,0.1134395283285937,0.15259366869910332,0.03915414037050961
h_t,8,fwd_mdd_8w,full,196,0.3803902022364675,3.8077103858514426e-08,0.09739092949597664,2.538545711566341,0.011131426009511215,0.05511368661236115,0.08961386574502402,0.034500179132662866
h_t,8,fwd_mdd_8w,high_conf,58,0.3020564864493376,0.021198457023169165,0.12919341576403834,1.8032902505882884,0.07134264296711776,0.10879247773891332,0.13674545903077806,0.027952981291864742
rho_t,1,fwd_ret_1w,full,196,-0.05862187123971026,0.41440928367887425,-0.010657918439387357,-1.134210184054732,0.25670639314538635,0.001717486835565817,0.0003124313352437673,-0.0014050555003220495
rho_t,1,fwd_ret_1w,high_conf,58,-0.11316866098618845,0.39764922641255435,-0.00827364440067214,-0.4257300350313484,0.6703045736710079,0.007346387570517096,-0.01612050780359127,-0.023466895374108364
rho_t,1,fwd_vol_1w,full,196,0.488372686052164,3.832333485802765e-13,0.13530191903681776,5.756166125696862,8.60457116741866e-09,0.06483963513780179,0.12616236465325759,0.061322729515455796
rho_t,1,fwd_vol_1w,high_conf,58,0.4082254145005999,0.0014671700407312342,0.1304932604875681,2.9454287215322634,0.0032250744643403727,0.0769996712576926,0.15826768203664318,0.08126801077895059
rho_t,1,fwd_mdd_1w,full,196,0.34161149840061317,9.574391348689982e-07,0.033322990895219506,5.017953836331099,5.22247215826578e-07,0.013405286759693488,0.026509981658508847,0.013104694898815359
rho_t,1,fwd_mdd_1w,high_conf,58,0.3272016979913255,0.012173384757253453,0.031612153141694466,2.511593502678051,0.012018744185604516,0.015752099905646577,0.04105237223708292,0.025300272331436342
rho_t,4,fwd_ret_4w,full,196,-0.08126927459777351,0.25748041898143614,-0.042182600260919995,-1.3809929685102917,0.1672811226541131,0.01745339810623111,-0.012084997415438453,-0.029538395521669564
rho_t,4,fwd_ret_4w,high_conf,58,0.016149374019502293,0.9042293249875246,-0.004960853148021339,-0.07154379648898723,0.9429649692803683,0.005066238034637591,-0.0003265696099123057,-0.005392807644549897
rho_t,4,fwd_vol_4w,full,196,0.5822582058985251,3.516558691304706e-19,0.11734943873735454,6.183948620730443,6.251772291850004e-10,0.07250897415949448,0.12621765822557662,0.053708684066082146
rho_t,4,fwd_vol_4w,high_conf,58,0.5880525392968101,1.2108328540741112e-06,0.14240970708335682,4.225101243804579,2.3883337866812207e-05,0.10054388237622279,0.1541888235218895,0.053644941145666716
rho_t,4,fwd_mdd_4w,full,196,0.3851954744224737,2.477188557214177e-08,0.0751657603295853,4.485853278432394,7.262270575627729e-06,0.032330558382190386,0.07344803419472996,0.04111747581253958
rho_t,4,fwd_mdd_4w,high_conf,58,0.31785247924277277,0.015039914216743914,0.07466285011864161,1.9149042895553259,0.055504710679763064,0.034173675199316224,0.07581614382040155,0.04164246862108533
rho_t,8,fwd_ret_8w,full,196,-0.0722804389229335,0.31404481602653195,-0.06782769722100151,-1.3485379027044324,0.17748543792607863,0.029800028971222508,-0.0022538172715258586,-0.03205384624274837
rho_t,8,fwd_ret_8w,high_conf,58,-0.03928142975791319,0.7697062528407658,-0.020637235166426352,-0.1326313766292798,0.8944849166713345,0.0149933349581877,-0.007824167145507321,-0.02281750210369502
rho_t,8,fwd_vol_8w,full,196,0.5562065200933947,2.5971635297861245e-17,0.11074975894378483,4.971770028739812,6.634437582665136e-07,0.07474996727016808,0.14060094295224965,0.06585097568208156
rho_t,8,fwd_vol_8w,high_conf,58,0.6607708634531977,1.6563211853073833e-08,0.13744699999198248,4.232327499650103,2.312852915441965e-05,0.09375745169255272,0.15613631833182293,0.06237886663927021
rho_t,8,fwd_mdd_8w,full,196,0.35884500456886276,2.40758747212632e-07,0.10350509234685062,3.4105412335077903,0.0006483407998378556,0.06175385337577138,0.11234266090979726,0.050588807534025886
rho_t,8,fwd_mdd_8w,high_conf,58,0.24525927716488713,0.06350615709896996,0.09242122486966804,1.1077008693335542,0.2679910238137999,0.0599728592508321,0.1365572791561083,0.0765844199052762
s_t,1,fwd_ret_1w,full,196,-0.043140036178469836,0.548255036079431,-0.006313746787651725,-0.5638155359378351,0.572879677526552,0.0020637961099120527,0.0003124313352437673,-0.0017513647746682853
s_t,1,fwd_ret_1w,high_conf,58,0.032944722999784674,0.806065922120601,0.01903854251263288,0.7716307541738578,0.44033315392924677,0.0016337854465208403,0.006861156194278228,0.0052273707477573875
s_t,1,fwd_vol_1w,full,196,0.4917642183777064,2.4904469229334176e-13,0.1576226060573572,6.3580585920650385,2.0431954166249747e-10,0.062442201147153,0.12370586872210716,0.06126366757495416
s_t,1,fwd_vol_1w,high_conf,58,0.3719892952720785,0.004036713544614977,0.1320481229226113,2.92910269959906,0.003399420838871124,0.07957014103389151,0.15375550553257056,0.07418536449867905
s_t,1,fwd_mdd_1w,full,196,0.3446081184558262,7.575513585991401e-07,0.03681898101191706,4.908117743167995,9.19546460482854e-07,0.012008207365707242,0.026209118458133295,0.014200911092426053
s_t,1,fwd_mdd_1w,high_conf,58,0.17875049986157682,0.17942414254146416,0.01683745139382365,1.1787656632903927,0.23849150057877655,0.022131636763249616,0.03453140674212315,0.012399769978873532
s_t,4,fwd_ret_4w,full,196,-0.04603750129493422,0.5216901486024134,-0.023281773762103806,-0.6791254108345244,0.49705840299450055,0.0163993780929519,-0.0003265696099123057,-0.016725947702864206
s_t,4,fwd_ret_4w,high_conf,58,0.11396843950905905,0.3943007908314727,0.018084677789037266,0.20500195815274289,0.8375705951325642,-0.011535636228893443,0.024208966290301052,0.03574460251919449
s_t,4,fwd_vol_4w,full,196,0.5984253599917125,1.9955930954028118e-20,0.13581566680288468,7.343350495704956,2.0831206433118078e-13,0.07222094297325425,0.1247910121512569,0.05257006917800265
s_t,4,fwd_vol_4w,high_conf,58,0.4149312498077456,0.0012012907923255136,0.13326652143996692,3.4976286469128746,0.0004694142551860241,0.10088892480950913,0.15258193290976013,0.051693008100251
s_t,4,fwd_mdd_4w,full,196,0.3646527145811491,1.4839364113110542e-07,0.07668295150180873,4.256935906767112,2.072477381345666e-05,0.031659190157305325,0.07007237068366448,0.038413180526359156
s_t,4,fwd_mdd_4w,high_conf,58,0.20859934268376729,0.11608880699471469,0.06154789567507847,1.4990317181879242,0.13386540379880502,0.05604589852546923,0.07581614382040155,0.019770245294932327
s_t,8,fwd_ret_8w,full,196,-0.08981504354963385,0.2106064862797961,-0.08137531971793208,-1.4127946052948541,0.15771612492629639,0.028426223924170626,-0.0006095996794825746,-0.0290358236036532
s_t,8,fwd_ret_8w,high_conf,58,-0.179119628410594,0.17851277692400816,-0.11688781256841388,-0.9708366576954851,0.33162962488779213,0.008418026290679207,-0.0465916567524666,-0.0550096830431458
s_t,8,fwd_vol_8w,full,196,0.5639075934942506,7.572405967774316e-18,0.12947209847511748,6.6233573340058065,3.511308116378069e-11,0.07476210377902802,0.12937847510455577,0.054616371325527754
s_t,8,fwd_vol_8w,high_conf,58,0.5138577009443539,3.69784296662911e-05,0.13171137187469595,4.6542949432299645,3.2509118004991537e-06,0.10683843565609782,0.15185855892218386,0.04502012326608604
s_t,8,fwd_mdd_8w,full,196,0.33854724870798597,1.2134263848818093e-06,0.12167815254158583,3.6313834876468953,0.00028190592311454535,0.062163137503771115,0.10659008517527806,0.04442694767150694
s_t,8,fwd_mdd_8w,high_conf,58,0.3212043803110873,0.01395193018995783,0.13900413993087124,2.1907445514760044,0.0284702831697888,0.10879247773891332,0.12335996534244112,0.014567487603527801
I_t,1,fwd_ret_1w,full,196,0.08186056148347665,0.25402276720202216,0.0052892081257788146,1.1715281919743006,0.24138653270391197,0.0018978223676570933,0.005702567361777204,0.0038047449941201105
I_t,1,fwd_ret_1w,high_conf,58,0.13390138115598757,0.31630240049165337,0.004983586298592517,1.0078196127280863,0.3135410686227894,-0.01612050780359127,0.013608908038144091,0.02972941584173536
I_t,1,fwd_vol_1w,full,196,-0.09941110376208273,0.1656584567174998,-0.012591161744697165,-0.9824101964928661,0.3258978050158746,0.0996565973557516,0.07957014103389151,-0.020086456321860083
I_t,1,fwd_vol_1w,high_conf,58,-0.029868651757974717,0.8238696530063884,-0.0025465344231974897,-0.2523199089581532,0.8007938007459372,0.12685393228436637,0.11143281152207722,-0.015421120762289145
I_t,1,fwd_mdd_1w,full,196,-0.12417324051131015,0.08291396734519982,-0.006180428866539239,-1.6864593917647484,0.09170735030460549,0.023595291931667022,0.015610648152942235,-0.007984643778724787
I_t,1,fwd_mdd_1w,high_conf,58,-0.1882863207111877,0.15694362499175143,-0.004310235149909792,-1.3746779971243541,0.16923129559447947,0.039910197306020787,0.017535490743438506,-0.02237470656258228
I_t,4,fwd_ret_4w,full,196,-0.040945421511048775,0.5688077100632839,0.0023536567301048433,0.18798834553205043,0.8508857872233275,0.020917541968523058,0.014807669653917619,-0.0061098723146054395
I_t,4,fwd_ret_4w,high_conf,58,0.04555661509120552,0.7341784282532683,0.005450082360295802,0.43018933744994436,0.6670579175869953,-0.011535636228893443,0.005066238034637591,0.016601874263531033
I_t,4,fwd_vol_4w,full,196,-0.11200822382838338,0.11805085568817685,-0.011520083398993033,-1.122483947348997,0.2616567291143579,0.09497389139726257,0.09018238319582263,-0.004791508201439948
I_t,4,fwd_vol_4w,high_conf,58,-0.1705681503583623,0.20049761740735522,-0.008954085594184969,-1.0393747730422616,0.2986304718018449,0.14099816285937775,0.11731874432195034,-0.023679418537427402
I_t,4,fwd_mdd_4w,full,196,-0.08328591720756774,0.24581998707314742,-0.00920051650216821,-1.1377334305337312,0.25523180948793034,0.05208568083504186,0.044595730641953824,-0.007489950193088034
I_t,4,fwd_mdd_4w,high_conf,58,-0.1549111637776944,0.2455965839332872,-0.008144523497116533,-1.1006239134942286,0.2710603733462419,0.07581614382040155,0.05604589852546923,-0.019770245294932327
I_t,8,fwd_ret_8w,full,196,-0.12170628501302903,0.08926038163905069,-0.012536753950040775,-0.6599200081099857,0.509305163701897,0.0460446557835695,0.0149933349581877,-0.031051320825381798
I_t,8,fwd_ret_8w,high_conf,58,-0.1308868313390138,0.3274186864602578,-0.013663220842592217,-0.5568087146569047,0.577658129066166,0.0224696808536147,-0.011217814765297046,-0.033687495618911746
I_t,8,fwd_vol_8w,full,196,-0.1050944704316713,0.1426553133993849,-0.013135634756216461,-1.3488412352032773,0.17738796677639168,0.08973769503129116,0.08874869130334288,-0.0009890037279482733
I_t,8,fwd_vol_8w,high_conf,58,-0.2918884001353471,0.026200695992836375,-0.012584196220392111,-1.7038575948301118,0.08840769487753801,0.14348154899197268,0.11625529862935544,-0.02722625036261725
I_t,8,fwd_mdd_8w,full,196,-0.0008934264300315272,0.9900841722465324,-0.0045339924255457555,-0.3333338228791057,0.73888231087083,0.07007237068366448,0.06659187969326724,-0.003480490990397239
I_t,8,fwd_mdd_8w,high_conf,58,-0.0008311786724553724,0.9950593162714875,-0.0018081597157574738,-0.11987136309974197,0.9045850498064468,0.10499881509377687,0.11234266090979726,0.007343845816020392
