week_end,exec_date,omega_qqq,omega_shy,qqq_return,shy_return,gross_portfolio_return,turnover,transaction_cost,net_portfolio_return,nav
2021-04-09,2021-04-12,0.19363142300713787,0.8063685769928621,0.0129446555224777,0.0001157815422447861,0.0025998546666165297,0.0,0.0,0.0025998546666165297,1.0025998546666166
2021-04-16,2021-04-19,0.19363142300713787,0.8063685769928621,-0.0021154449062458225,0.00023179590630117985,-0.00022270367237272676,0.0,0.0,-0.00022270367237272676,1.0023765719970619
2021-04-23,2021-04-26,0.30711176330725387,0.6928882366927461,-0.0012950177251135342,0.0001387230263334427,-0.00030159562396890556,0.113480340300116,5.6740170150058e-05,-0.00035833579411896356,1.0020173845921292
2021-04-30,2021-05-03,0.2548102501172629,0.7451897498827371,-0.019013971713507383,0.0003482577374547269,-0.004585436791772762,0.05230151318999099,2.6150756594995495e-05,-0.004611587548367758,0.9973964936980961
2021-05-07,2021-05-10,0.33717159052401136,0.6628284094759886,-0.024490455405955736,-0.00023182607774585584,-0.00841114671227081,0.08236134040674847,4.118067020337424e-05,-0.008452327382474183,0.988966172003228
2021-05-14,2021-05-17,0.22126796764484646,0.7787320323551535,0.014600963259463473,0.00023187422167958438,0.003411293349977868,0.11590362287916489,5.7951811439582445e-05,0.0033533415385382857,0.9922825133480156
2021-05-21,2021-05-24,0.3316868039233978,0.6683131960766022,0.01800408223629013,0.00013898426318181833,0.006064601511660486,0.11041883627855131,5.520941813927566e-05,0.00600939209352121,0.9982455280382685
2021-05-28,2021-06-01,0.4371498361926752,0.5628501638073248,-0.0007456354835888579,0.0,-0.0003259544295103154,0.10546303226927745,5.2731516134638725e-05,-0.0003786859456449541,0.9978675064864975
2021-06-04,2021-06-07,0.6096441767275889,0.39035582327241114,0.0197885169574763,3.4010478411339307e-07,0.012064086891083571,0.17249434053491364,8.624717026745682e-05,0.011977839720816114,1.0098198035418031
2021-06-11,2021-06-14,0.6096441767275889,0.39035582327241114,0.0033573317473445385,-0.0023180076819622197,0.0011419299520671231,0.0,0.0,0.0011419299520671231,1.0109729470216582
2021-06-18,2021-06-21,0.7188349063644469,0.2811650936355531,0.024384451483164815,0.0005803812538127673,0.017691577848221764,0.10919072963685805,5.459536481842903e-05,0.017636982483403334,1.0288034591794737
2021-06-25,2021-06-28,0.8049709185399698,0.19502908146003017,0.0241747973316615,0.0004994983759587512,0.019557425523039185,0.08613601217552291,4.3068006087761454e-05,0.019514357516951422,1.0488798976965783
2021-07-02,2021-07-06,0.8049709185399698,0.19502908146003017,0.008879326488778094,0.0004642093115623247,0.007238133915327181,0.0,0.0,0.007238133915327181,1.0564718308572008
2021-07-09,2021-07-12,0.9065223724502381,0.09347762754976185,-0.023175632207408148,0.00034761194919630256,-0.020976735151374968,0.10155145391026832,5.077572695513416e-05,-0.021027510878330102,1.0342568579412017
2021-07-16,2021-07-19,0.6746651363500251,0.3253348636499749,0.03796084182292603,0.00023216379575452528,0.025686387501262384,0.23185723610021303,0.0001159286180501065,0.02557045888321228,1.0607032804018675
2021-07-23,2021-07-26,0.7385563564883177,0.26144364351168226,-0.003292470981249185,0.0004869532774909313,-0.00230436453266773,0.06389122013829263,3.194561006914631e-05,-0.0023363101427368764,1.0582251485694303
2021-07-30,2021-08-02,0.8496985277124351,0.15030147228756485,0.006115460995502531,-0.0008110365803702946,0.005074398212052596,0.1111421712241174,5.55710856120587e-05,0.005018827126440537,1.0635361976509523
2021-08-06,2021-08-09,0.8496985277124351,0.15030147228756485,-0.0023064560227111786,-2.097850071436369e-08,-0.0019597954398307108,0.0,0.0,-0.0019597954398307108,1.061451884260701
2021-08-13,2021-08-16,0.8496985277124351,0.15030147228756485,0.003073105188361458,-0.00034813016372736705,0.002558888477900242,0.0,0.0,0.002558888477900242,1.0641680212571811
2021-08-20,2021-08-23,0.736008182157222,0.26399181784277803,0.021827886495540794,0.0005802370013880953,0.01621868088069324,0.11369034555521318,5.684517277760659e-05,0.016161835707915632,1.0813669299823574
2021-08-27,2021-08-30,0.736008182157222,0.26399181784277803,0.012816508115895298,-8.117126333784253e-05,0.009411626290618227,0.0,0.0,0.009411626290618227,1.0915443514103846
2021-09-03,2021-09-07,0.8604556882210046,0.1395443117789954,-0.007047655541983278,-5.8938773528360855e-08,-0.006064203524292387,0.12444750606378263,6.222375303189131e-05,-0.006126427277324278,1.0848570843214949
2021-09-10,2021-09-13,0.8604556882210046,0.1395443117789954,-0.029347966842429685,-0.00011637094643102142,-0.025268863910920845,0.0,0.0,-0.025268863910920845,1.0574439782949765
2021-09-17,2021-09-20,0.7703193280904247,0.2296806719095753,0.007456558954610504,-0.0012759914346384127,0.005450860913723589,0.0901363601305799,4.506818006528995e-05,0.0054057927336582995,1.0631603012690942
2021-09-24,2021-09-27,0.7703193280904247,0.2296806719095753,-0.031550713507908834,0.000708716759596717,-0.02414134588864807,0.0,0.0,-0.02414134588864807,1.0374941807010778
2021-10-01,2021-10-04,0.5609041530555976,0.4390958469444024,0.002956800165819562,-0.001509091689853359,0.0009958455990907518,0.2094151750348271,0.00010470758751741353,0.0008911380115733383,1.0384187312022866
2021-10-08,2021-10-11,0.5609041530555976,0.4390958469444024,0.022331502020510596,-0.0015110646352947121,0.011862330021451395,0.0,0.0,0.011862330021451395,1.0507367968922647
2021-10-15,2021-10-18,0.6230457777505646,0.3769542222494354,0.02162629129093907,-0.0005818918200772849,0.013254822898752853,0.06214162469496698,3.107081234748349e-05,0.013223752086405369,1.0646314798024317
2021-10-22,2021-10-25,0.6230457777505646,0.3769542222494354,0.029289613782260915,-0.0004542514708493206,0.01807753818908274,0.0,0.0,0.01807753818908274,1.0838773960358599
2021-10-29,2021-11-01,0.7983673352759633,0.20163266472403674,0.031068824872736434,0.001864894598434308,0.025180358591113925,0.17532155752539869,8.766077876269934e-05,0.025092697812351225,1.1110748040002256
2021-11-05,2021-11-08,0.7114700038748524,0.2885299961251476,-0.006674014055361832,-0.001861577952182225,-0.0052854818851589,0.08689733140111089,4.3448665700555445e-05,-0.005328930550859455,1.1051539635328986
2021-11-12,2021-11-15,0.6464375239051678,0.35356247609483216,0.024399723068998957,-0.0011658965570434665,0.015360679291116761,0.06503247996968453,3.2516239984842266e-05,0.015328163051131919,1.1220939436825357
2021-11-19,2021-11-22,0.6464375239051678,0.35356247609483216,-0.023867567089215447,0.0014005519319946202,-0.01493370836181749,0.0,0.0,-0.01493370836181749,1.105336919973019
2021-11-26,2021-11-29,0.8308540959703051,0.16914590402969487,-0.030968244071519657,-0.0011658946689483418,-0.025927298739612897,0.18441657206513729,9.220828603256864e-05,-0.026019507025645466,1.0765765982180757
2021-12-03,2021-12-06,0.406636843473124,0.593363156526876,0.03745806761042325,-0.001284019794610236,0.014469940337332456,0.4242172524971811,0.00021210862624859055,0.014257831711083866,1.0919262461795602
2021-12-10,2021-12-13,0.6665964535791236,0.33340354642087644,-0.04508844408225865,0.0012623887618832264,-0.02963491203246051,0.25995961010599955,0.00012997980505299978,-0.029764891837513508,1.0594251795674834
2021-12-17,2021-12-20,0.5328070993934766,0.4671929006065234,0.04921335218340772,-0.0017516982985581464,0.025402842419180196,0.13378935418564697,6.689467709282349e-05,0.025335947742087372,1.0862667205536567
2021-12-24,2021-12-27,0.6946913746682648,0.3053086253317352,0.0020089204863367183,-0.0004675905890955123,0.0012528202942776868,0.16188427527478821,8.09421376373941e-05,0.0011718781566402926,1.0875396927957588
2021-12-31,2022-01-03,0.5389670331613168,0.4610329668386832,-0.06071924233819881,-0.0021065316788132504,-0.033696850448444976,0.15572434150694803,7.786217075347402e-05,-0.03377471261919845,1.0508083522096108
2022-01-07,2022-01-10,0.4309377743472782,0.5690622256527218,-0.0020809856546456507,-0.002111068063529009,-0.00209810441719781,0.10802925881403858,5.401462940701929e-05,-0.0021521190466048295,1.048546887540489
2022-01-14,2022-01-18,0.4888291485452142,0.5111708514547858,-0.07520570276906768,0.0009401892258278366,-0.03628214232325278,0.057891374197935996,2.8945687098967998e-05,-0.03631108801035175,1.010473009224026
2022-01-21,2022-01-24,0.14176441904648995,0.85823558095351,0.021074647998502893,-0.0028177664968855876,0.0005693277636710961,0.34706472949872424,0.00017353236474936212,0.00039579539892173397,1.0108729497918114
2022-01-28,2022-01-31,0.14176441904648995,0.85823558095351,0.015345279668925738,-0.0022021944808406912,0.00028541299773424686,0.0,0.0,0.00028541299773424686,1.01116146607074
2022-02-04,2022-02-07,0.2114465600654012,0.7885534399345988,-0.03382405643753783,-0.0051935398084530515,-0.011247364062568294,0.06968214101891124,3.4841070509455615e-05,-0.011282205133077748,0.9997533349878662
2022-02-11,2022-02-14,0.2630183392979055,0.7369816607020945,-0.023088463077344024,0.0016605092170067781,-0.004848924375183244,0.05157177923250433,2.5785889616252166e-05,-0.0048747102647994965,0.9948798271435334
2022-02-18,2022-02-22,0.1515454555708886,0.8484545444291114,0.011876126129533704,0.001658597594534239,0.0032070176111792872,0.11147288372701691,5.573644186350846e-05,0.003151281169315779,0.9980149732085429
2022-02-25,2022-02-28,0.1515454555708886,0.8484545444291114,-0.01524042052224317,-0.0008868610501430174,-0.0030620777594062786,0.0,0.0,-0.0030620777594062786,0.9949589737555267
2022-03-04,2022-03-07,0.1515454555708886,0.8484545444291114,-0.04198206315260078,-0.005091860840145235,-0.010682403355688559,0.0,0.0,-0.010682403355688559,0.9843304206755081
2022-03-11,2022-03-14,0.1515454555708886,0.8484545444291114,0.08511465871630497,-0.003450905748953792,0.00997080306582675,0.0,0.0,0.00997080306582675,0.994144985451766
2022-03-18,2022-03-21,0.25537760184489144,0.7446223981551086,0.02609925699645399,-0.0054930907881174384,0.0025748872257561825,0.10383214627400283,5.1916073137001415e-05,0.002522971152619181,0.9966531845715818
2022-03-25,2022-03-28,0.25537760184489144,0.7446223981551086,0.009378366367494229,-0.0008892565933188434,0.0017328643350611427,0.0,0.0,0.0017328643350611427,0.998380249329551
2022-04-01,2022-04-04,0.25537760184489144,0.7446223981551086,-0.04935058594381203,-0.0016833480553752889,-0.013856492953894212,0.0,0.0,-0.013856492953894212,0.984546200439409
2022-04-08,2022-04-11,0.25537760184489144,0.7446223981551086,-0.02163530703360672,0.0020475449423944525,-0.004000525000084276,0.0,0.0,-0.004000525000084276,0.9806074987508131
2022-04-15,2022-04-18,0.25537760184489144,0.7446223981551086,-0.04037351017917834,-0.0018029123555228788,-0.011652979129451799,0.0,0.0,-0.011652979129451799,0.9691805000336859
2022-04-22,2022-04-25,0.25537760184489144,0.7446223981551086,-0.033669947155855584,-0.001637568945239587,-0.009817920874055256,0.0,0.0,-0.009817920874055256,0.9596651625716779
2022-04-29,2022-05-02,0.25537760184489144,0.7446223981551086,-0.029888371972054517,0.0015687047870684978,-0.006464728036727008,0.0,0.0,-0.006464728036727008,0.9534611882893306
2022-05-06,2022-05-09,0.25537760184489144,0.7446223981551086,-0.010972936038331937,0.0020481800541334305,-0.001277121346904299,0.0,0.0,-0.001277121346904299,0.9522435026523216
2022-05-13,2022-05-16,0.25537760184489144,0.7446223981551086,-0.03464915358258014,0.0006012150157348461,-0.008400939581051302,0.0,0.0,-0.008400939581051302,0.9442437625200908
2022-05-20,2022-05-23,0.25537760184489144,0.7446223981551086,0.06667816159955775,0.0020429361479215036,0.018549325018464256,0.0,0.0,0.018549325018464256,0.9617588469677336
2022-05-27,2022-05-31,0.25537760184489144,0.7446223981551086,0.005435576960653332,-0.002939978217346262,-0.0008010490218691626,0.0,0.0,-0.0008010490218691626,0.9609884309840961
2022-06-03,2022-06-06,0.378214153663742,0.621785846336258,-0.09975856277973616,-0.009268243210228344,-0.043492962840971296,0.12283655181885056,6.141827590942529e-05,-0.043554381116880724,0.9191331746121016
2022-06-10,2022-06-13,0.22926842780914658,0.7707315721908534,-0.0016591772606614485,0.000243224076172055,-0.00019293648738578104,0.14894572585459542,7.447286292729771e-05,-0.00026740935031307876,0.9188873898070274
2022-06-17,2022-06-21,0.13606494048184103,0.863935059518159,0.061883228477215724,0.002671560978011911,0.01072819299212164,0.09320348732730555,4.660174366365277e-05,0.010681591248457986,0.9287025693083085
2022-06-24,2022-06-27,0.13606494048184103,0.863935059518159,-0.059763520114002655,0.0061696454796065225,-0.0028015467726672794,0.0,0.0,-0.0028015467726672794,0.926100765622495
2022-07-01,2022-07-05,0.21625969079394092,0.7837403092060591,0.05235181175193748,-0.00409759253372266,0.008110138182596364,0.08019475031209988,4.009737515604994e-05,0.008070040807440315,0.9335744365928703
2022-07-08,2022-07-11,0.36909001549696063,0.6309099845030394,0.006282408101354164,-0.0014519643925275938,0.0014027152710984906,0.15283032470301972,7.641516235150986e-05,0.0013263001087469807,0.9348126364696467
2022-07-15,2022-07-18,0.29455133304526737,0.7054486669547326,0.024769320259499183,0.0032716239382186707,0.009603799047054187,0.07453868245169326,3.726934122584663e-05,0.00956652970582834,0.9437555493258173
2022-07-22,2022-07-25,0.4290122854390247,0.5709877145609753,0.03850726798257931,0.0031165441209124456,0.018299599448147574,0.13446095239375733,6.723047619687866e-05,0.018232368971950696,0.9609624487204517
2022-07-29,2022-08-01,0.48285193337435794,0.5171480666256421,0.02882188345379233,-0.005183567279461232,0.011236030352356728,0.053839647935333246,2.6919823967666623e-05,0.011209110528389061,0.9717339830217907
2022-08-05,2022-08-08,0.5331137209490854,0.4668862790509146,0.020855826183114212,0.0010906006557855896,0.0116277135820576,0.050261787574727435,2.5130893787363716e-05,0.011602582688270236,0.9830086069108032
2022-08-12,2022-08-15,0.6848621132376973,0.3151378867623027,-0.033149218926833535,-0.0019363980075981502,-0.0233128765024555,0.15174839228861192,7.587419614430596e-05,-0.023388750698599806,0.9600172636691885
2022-08-19,2022-08-22,0.6209272800207299,0.37907271997927006,-0.04357911083803556,-0.000970041234783503,-0.027427174927744765,0.06393483321696736,3.196741660848368e-05,-0.02745914234435325,0.9336560129730598
2022-08-26,2022-08-29,0.2942920767440522,0.7057079232559478,-0.029413556280154185,-0.0010924354547073856,-0.00942711691814735,0.3266352032766777,0.00016331760163833885,-0.00959043451978569,0.9247018461166374
2022-09-02,2022-09-06,0.41742049546651194,0.5825795045334881,0.04342805698580543,-0.0007299667098433771,0.01770249742001632,0.12312841872245972,6.156420936122986e-05,0.01764093321065509,0.9410144496237505
2022-09-09,2022-09-12,0.5055197895921262,0.4944802104078738,-0.0709427487217007,-0.0070619968410363665,-0.03935498109073662,0.08809929412561424,4.4049647062807115e-05,-0.03939903073779943,0.903939392398311
2022-09-16,2022-09-19,0.27350298340181944,0.7264970165981806,-0.03869277972457408,-0.004537629657189068,-0.013879165099155722,0.23201680619030673,0.00011600840309515337,-0.013995173502250876,0.8912886037661774
2022-09-23,2022-09-26,0.19996057510635334,0.8000394248936467,-0.021670000901918507,0.0024421573470030378,-0.002379323683506716,0.0735424082954661,3.677120414773305e-05,-0.0024160948876544492,0.8891351659271932
2022-09-30,2022-10-03,0.19996057510635334,0.8000394248936467,0.0008544619271289022,-0.0028299468617686285,-0.0020932103614137755,0.0,0.0,-0.0020932103614137755,0.8872740189851771
2022-10-07,2022-10-10,0.288113709397924,0.711886290602076,-0.009134865325313601,-0.0007401669026849689,-0.003158794604505406,0.08815313429157068,4.407656714578534e-05,-0.0032028711716511915,0.8844321946084144
2022-10-14,2022-10-17,0.288113709397924,0.711886290602076,0.033165813412922684,-0.000987883648237542,0.008852264701706306,0.0,0.0,0.008852264701706306,0.8922614225057992
2022-10-21,2022-10-24,0.36538431267451266,0.6346156873254873,0.011716003319221624,0.001359495139861,0.00514360076268465,0.07727060327658863,3.863530163829432e-05,0.005104965461046355,0.8968163862499154
2022-10-28,2022-10-31,0.36538431267451266,0.6346156873254873,-0.0472175331225273,-0.0028315784267867183,-0.01904950997569195,0.0,0.0,-0.01904950997569195,0.8797324735536837
2022-11-04,2022-11-07,0.4894478962372042,0.5105521037627958,0.07567258277243694,0.006448287574172262,0.0403299732274661,0.12406358356269154,6.203179178134577e-05,0.040267941435684754,0.9151574892778135
2022-11-11,2022-11-14,0.38942340133914866,0.6105765986608513,-0.008605653924270262,-0.000369727641399753,-0.003576990067653678,0.10002449489805554,5.001224744902777e-05,-0.003627002315102706,0.9118382109455193
2022-11-18,2022-11-21,0.5246755572683438,0.4753244427316562,0.005292879141000295,0.0009863571423669448,0.0032458839718882797,0.13525215592919515,6.762607796459758e-05,0.003178257893923682,0.9147362679374381
2022-11-25,2022-11-28,0.5246755572683438,0.4753244427316562,0.01923512942212313,0.0033879025524208295,0.011702555141439757,0.0,0.0,0.011702555141439757,0.9254410195528509
2022-12-02,2022-12-05,0.6457224564070831,0.35427754359291685,-0.028101457533706076,0.0004915853685638627,-0.017971584530442997,0.12104689913873934,6.052344956936967e-05,-0.01803210798001237,0.9087533671591411
2022-12-09,2022-12-12,0.49290300266965703,0.507096997330343,-0.02726373793339365,0.0027180728902016504,-0.012060051690222097,0.15281945373742611,7.640972686871305e-05,-0.01213646141709081,0.8977243169809629
2022-12-16,2022-12-19,0.6229050090265715,0.37709499097342847,-0.026034251121440755,-0.0018424312553760869,-0.01691163702741629,0.1300020063569145,6.500100317845725e-05,-0.016976638030594748,0.8824839762003142
2022-12-23,2022-12-27,0.5210272062724985,0.47897279372750146,0.0071605221869124325,0.0004922045714426115,0.003966579469168542,0.10187780275407299,5.093890137703649e-05,0.003915640567791505,0.8859394662579502
2022-12-30,2023-01-03,0.4040007547250313,0.5959992452749687,0.00811468354369671,0.0029519678111433745,0.005037708863525715,0.11702645154746727,5.851322577373363e-05,0.004979195637751981,0.8903507321836541
2023-01-06,2023-01-09,0.5420255320276719,0.4579744679723281,0.036702308546578966,0.0015951809409564532,0.020624140459357364,0.13802477730264062,6.901238865132031e-05,0.020555128070706044,0.9086520055115361
2023-01-13,2023-01-17,0.6478973200350044,0.35210267996499556,0.009865562774154402,0.0008568485479221177,0.006693570352059234,0.10587178800733255,5.293589400366627e-05,0.006640634458055568,0.9146860313297174
2023-01-20,2023-01-23,0.6478973200350044,0.35210267996499556,0.033117112926609016,-0.000734099735508642,0.021198010228212397,0.0,0.0,0.021198010228212397,0.9340755551774477
2023-01-27,2023-01-30,0.5759508864598473,0.42404911354015273,0.036117589077273804,-0.0020640565531644395,0.01992669609418222,0.07194643357515718,3.597321678757859e-05,0.01989072287739464,0.9526549931920307
